acl 2.2.53-1
adwaita-icon-theme 3.30.1-1
alsa-lib 1.1.7-2
arch-install-scripts 20-1
arch-wiki-cli 0.3-2
archlinux-keyring 20181218-1
argon2 20171227-3
aria2 1.34.0-1
at-spi2-atk 2.30.0-1
at-spi2-core 2.30.0-2
atk 2.30.0-1
attr 2.4.48-1
audit 2.8.4-2
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+16+g1cc2b8e-2
bash 4.4.023-1
bc 1.07.1-2
binutils 2.31.1-3
bison 3.2-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.41-1
ca-certificates-utils 20181109-1
cairo 1.16.0-1
cantarell-fonts 1:0.111-1
cdrtools 3.02a09-1
cifs-utils 6.8-2
cmake 3.13.1-1
colord 1.4.3-2
coreutils 8.30-1
cpio 2.12-4
cpupower 4.19-1
cracklib 2.9.6-3
cryptsetup 2.0.6-1
curl 7.63.0-2
db 5.3.28-4
dbus 1.12.12-1
dconf 0.30.1-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.183-1
dhcpcd 7.0.8-1
dialog 1:1.3_20181107-1
diffstat 1.61-3
diffutils 3.6-2
ding-libs 0.6.1-2
dnssec-anchors 20181003-1
e2fsprogs 1.44.5-1
ed 1.14.2-2
expac 9-1
expat 2.2.6-1
extundelete 0.2.4-4
fakeroot 1.23-1
fastjar 0.98-5
fetchmirrors 0.6-3
fetchpkg 0.3-7
file 5.35-1
filesystem 2018.8-1
findutils 4.6.0-4
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.9.1-1
fribidi 1.0.5-1
gamin 0.1.10-9
gawk 4.2.1-1
gc 7.6.8-1
gcc 8.2.1+20181127-1
gcc-libs 8.2.1+20181127-1
gd 2.2.5-1
gdbm 1.18.1-1
gdk-pixbuf2 2.38.0-1
gettext 0.19.8.1-3
ghostscript 9.26-1
giflib 5.1.4-2
git 2.20.1-1
glib-networking 2.58.0-1
glib2 2.58.2-1
glibc 2.28-5
gmp 6.1.2-2
gnulib-git v0.1.2033.gf402ce6e1-1
gnupg 2.2.12-1
gnutls 3.6.5-1
gperf 3.1-2
gpgme 1.12.0-1
gpm 1.20.7.r27.g1fd1941-1
graphite 1:1.3.12-1
graphviz 2.40.1-14
grep 3.1-2
groff 1.22.3-8
grub 2:2.02-8
gsettings-desktop-schemas 3.28.1-1
gsfonts 20180524-1
gssproxy 0.8.0-1
gtk-update-icon-cache 3.24.2+7+g43aeb52b73-1
gtk3 3.24.2+7+g43aeb52b73-1
gts 0.7.6-5
guile 2.2.4-1
gvim 8.1.0570-1
gzip 1.9-2
harfbuzz 2.2.0-1
hicolor-icon-theme 0.17-1
hwids 20180917-1
iana-etc 20180913-1
icu 63.1-2
ijs 0.35-2
imlib2 1.5.1-1
inetutils 1.9.4-6
iniparser 4.1-1
intltool 0.51.0-4
iproute2 4.19.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-2
irqbalance 1.3.0-2
jansson 2.12-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.15-1
jdk8-openjdk 8.u192-1
jfsutils 1.1.15-6
jre8-openjdk 8.u192-1
jre8-openjdk-headless 8.u192-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kbd 2.0.4-2
keyutils 1.6-1
kmod 25-1
krb5 1.16.1-1
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
less 530-1
libaio 0.3.111-2
libarchive 3.3.3-1
libassuan 2.5.2-1
libatomic_ops 7.6.8-1
libbsd 0.9.1-1
libburn 1.5.0-1
libcanberra 0.30+2+gc0620e4-2
libcap 2.26-1
libcap-ng 0.7.9-1
libcroco 0.6.12+4+g9ad7287-2
libcups 2.2.10-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdmx 1.1.4-1
libdrm 2.4.96-1
libedit 20180525_3.1-1
libelf 0.175-1
libepoxy 1.5.3-1
libevent 2.1.8-2
libffi 3.2.1-3
